POSDiff,Instances,Frequency %,Cum. Freq. %,Unique Words,Inst./ Word
G:NNP | P:NN,572633,15.60%,15.60%,65607,9
G:NN | P:VBD,2658,0.07%,97.17%,272,10
G:VBD | P:NN,2619,0.07%,97.24%,554,5
G:PRP | P:NN,2540,0.07%,97.31%,85,30
G:NNP | P:VBP,2469,0.07%,97.38%,349,7
G:JJ | P:IN,2321,0.06%,97.44%,36,64
G:RB | P:NNS,2314,0.06%,97.50%,42,55
G:JJ | P:PDT,2281,0.06%,97.56%,4,570
G:DT | P:PDT,2194,0.06%,97.62%,5,439
G:EX | P:RB,2184,0.06%,97.68%,10,218
G:JJR | P:JJ,2170,0.06%,97.74%,44,49
G:JJ | P:JJR,2110,0.06%,97.80%,155,14
G:JJ | P:NNS,2104,0.06%,97.86%,970,2
G:NN | P:FW,2072,0.06%,97.92%,9,230
G:VBN | P:RB,1948,0.05%,97.97%,561,3
G:RB | P:DT,1853,0.05%,98.02%,11,168
G:VBP | P:VBN,1826,0.05%,98.07%,131,14
G:VBZ | P:NN,1805,0.05%,98.12%,654,3
G:NNP | P:RB,1783,0.05%,98.17%,422,4
G:RB | P:VBP,1748,0.05%,98.22%,132,13
G:JJ | P:CD,1691,0.05%,98.27%,257,7
G:NNP | P:IN,1616,0.04%,98.31%,83,19
G:NNS | P:IN,1611,0.04%,98.35%,6,269
G:NN | P:JJR,1532,0.04%,98.39%,345,4
G:JJR | P:RBR,1512,0.04%,98.43%,18,84
G:NNP | P:VB,1509,0.04%,98.47%,300,5
G:RB | P:JJR,1485,0.04%,98.51%,10,149
G:VBP | P:JJ,1453,0.04%,98.55%,381,4
G:RBS | P:DT,1367,0.04%,98.59%,2,684
G:VB | P:VBN,1339,0.04%,98.63%,168,8
G:NNS | P:JJ,1334,0.04%,98.67%,442,3
G:JJS | P:NN,1250,0.03%,98.70%,131,10
G:RB | P:PRP,1200,0.03%,98.73%,11,109
G:NNPS | P:NN,1113,0.03%,98.76%,436,3
G:DT | P:WDT,1099,0.03%,98.79%,2,550
G:RBS | P:PRP,1018,0.03%,98.82%,2,509
G:CD | P:JJ,993,0.03%,98.85%,251,4
G:DT | P:NN,970,0.03%,98.88%,282,3
G:VBP | P:VBD,880,0.02%,98.90%,196,4
G:VBP | P:RB,868,0.02%,98.92%,352,2
G:PDT | P:NN,852,0.02%,98.94%,42,20
G:NN | P:JJS,825,0.02%,98.96%,101,8
G:JJR | P:VBP,819,0.02%,98.98%,28,29
G:WDT | P:PRP,788,0.02%,99%,1,788
G:NNP | P:VBD,785,0.02%,99.02%,186,4
G:RB | P:CC,746,0.02%,99.04%,5,149
G:CC | P:IN,733,0.02%,99.06%,7,105
G:VBD | P:VB,683,0.02%,99.08%,53,13
G:NNP | P:VBG,644,0.02%,99.10%,201,3
G:RB | P:PDT,641,0.02%,99.12%,7,92
G:NNP | P:DT,636,0.02%,99.14%,14,45
G:VB | P:IN,623,0.02%,99.16%,26,24
G:NN | P:NNP,616,0.02%,99.18%,29,21
G:DT | P:FW,604,0.02%,99.20%,2,302
G:CD | P:NNS,590,0.02%,99.26%,66,9
G:FW | P:RB,590,0.02%,99.24%,11,54
G:RBS | P:JJS,590,0.02%,99.22%,5,118
G:IN | P:WDT,577,0.02%,99.28%,1,577
G:NNP | P:CC,564,0.02%,99.32%,19,30
G:RB | P:RP,564,0.02%,99.30%,10,56
G:LS | P:DT,562,0.02%,99.34%,1,562
G:NN | P:POS,542,0.01%,99.35%,4,136
G:VBD | P:NNS,532,0.01%,99.36%,112,5
G:VBZ | P:VBP,529,0.01%,99.37%,96,6
G:NNS | P:RB,516,0.01%,99.38%,353,1
G:CC | P:PRP,514,0.01%,99.39%,3,171
G:NNS | P:VBN,490,0.01%,99.40%,233,2
G:NN | P:WP,480,0.01%,99.41%,2,240
G:VBZ | P:POS,461,0.01%,99.42%,4,115
G:NNP | P:CD,423,0.01%,99.43%,41,10
G:IN | P:PRP,422,0.01%,99.44%,2,211
G:JJ | P:RBS,405,0.01%,99.45%,60,7
G:JJR | P:VB,387,0.01%,99.46%,10,39
G:NNS | P:PRP,381,0.01%,99.47%,6,64
G:JJ | P:JJS,376,0.01%,99.48%,71,5
G:FW | P:JJ,362,0.01%,99.50%,68,5
G:RB | P:JJS,362,0.01%,99.49%,3,121
G:IN | P:RP,359,0.01%,99.53%,7,51
G:VBN | P:VB,359,0.01%,99.52%,69,5
G:VB | P:VBD,359,0.01%,99.51%,115,3
G:CC | P:RB,353,0.01%,99.54%,21,17
G:NNP | P:VBN,348,0.01%,99.55%,152,2
G:NNP | P:VBZ,342,0.01%,99.56%,116,3
G:VBN | P:NNS,332,0.01%,99.57%,135,2
G:AFX | P:NN,330,0.01%,99.58%,158,2
G:NNP | P:PRP,321,0.01%,99.59%,25,13
G:WDT | P:WP,313,0.01%,99.60%,2,157
G:RB | P:VB,302,0.01%,99.61%,39,8
G:VBG | P:VBN,294,0.01%,99.63%,120,2
G:VBP | P:IN,294,0.01%,99.62%,22,13
G:RBR | P:JJ,284,0.01%,99.64%,11,26
G:JJ | P:FW,283,0.01%,99.65%,2,142
G:VBD | P:RB,281,0.01%,99.66%,136,2
G:FW | P:NNS,275,0.01%,99.67%,154,2
G:AFX | P:JJ,271,0.01%,99.68%,8,34
G:NN | P:PRP$,260,0.01%,99.69%,10,26
G:IN | P:FW,258,0.01%,99.70%,2,129
G:IN | P:VBP,256,0.01%,99.71%,143,2
G:CC | P:DT,252,0.01%,99.72%,3,84
G:VBZ | P:VBD,249,0.01%,99.73%,75,3
G:NNS | P:CD,232,0.01%,99.75%,7,33
G:VBZ | P:JJ,232,0.01%,99.74%,108,2
G:NNP | P:JJS,222,0.01%,99.76%,35,6
G:RB | P:RBS,215,0.01%,99.77%,5,43
G:MD | P:NN,201,0.01%,99.78%,110,2
G:NNPS | P:VBZ,199,0.01%,99.79%,39,5
G:NN | P:MD,193,0.01%,99.80%,13,15
G:CC | P:SYM,188,0.01%,99.81%,2,94
G:POS | P:SYM,186,0.01%,99.82%,1,186
G:UH | P:NN,174,0%,99.82%,90,2
G:PRP | P:PRP$,172,0%,99.82%,1,172
G:RBR | P:NN,172,0%,99.82%,49,4
G:RB | P:RBR,171,0%,99.82%,4,43
G:VBG | P:RB,166,0%,99.82%,53,3
G:DT | P:JJ,152,0%,99.82%,41,4
G:NNP | P:JJR,143,0%,99.82%,42,3
G:NNP | P:PRP$,143,0%,99.82%,10,14
G:NN | P:VBZ,141,0%,99.82%,55,3
G:FW | P:VBP,136,0%,99.82%,25,5
G:JJR | P:VBN,136,0%,99.82%,21,6
G:VB | P:PRP,134,0%,99.82%,4,34
G:NNS | P:VB,131,0%,99.82%,79,2
G:LS | P:RB,126,0%,99.82%,2,63
G:PDT | P:JJ,121,0%,99.82%,4,30
G:JJS | P:JJ,119,0%,99.82%,34,4
G:PDT | P:PRP,119,0%,99.82%,2,60
G:IN | P:DT,115,0%,99.82%,2,58
G:RP | P:NN,114,0%,99.82%,43,3
G:RB | P:VBN,113,0%,99.82%,52,2
G:NNS | P:CC,112,0%,99.82%,6,19
G:IN | P:VB,111,0%,99.82%,57,2
G:NNP | P:SYM,111,0%,99.82%,8,14
G:NNS | P:VBP,107,0%,99.82%,73,1
G:NNP | P:FW,106,0%,99.82%,8,13
G:CD | P:VBN,102,0%,99.82%,76,1
G:MD | P:VBP,102,0%,99.82%,4,26
G:VBZ | P:VBN,100,0%,99.82%,19,5
G:IN | P:VBD,97,0%,99.82%,86,1
G:RB | P:VBZ,96,0%,99.82%,11,9
G:VBZ | P:RB,96,0%,99.82%,67,1
G:NNP | P:WP,93,0%,99.82%,2,47
G:VB | P:JJR,92,0%,99.82%,39,2
G:NN | P:RBR,91,0%,99.82%,62,1
G:VB | P:CD,89,0%,99.82%,11,8
G:CD | P:RB,84,0%,99.82%,66,1
G:NNS | P:POS,84,0%,99.82%,2,42
G:NNS | P:PRP$,81,0%,99.82%,1,81
G:NN | P:TO,80,0%,99.82%,1,80
G:VB | P:RBR,80,0%,99.82%,30,3
G:VBP | P:VBG,75,0%,99.82%,62,1
G:AFX | P:CD,73,0%,99.82%,3,24
G:JJS | P:VBP,72,0%,99.82%,14,5
G:NNP | P:POS,70,0%,99.82%,2,35
G:WDT | P:NN,69,0%,99.82%,53,1
G:NNS | P:FW,68,0%,99.82%,1,68
G:VB | P:NNS,67,0%,99.82%,37,2
G:JJ | P:CC,66,0%,99.82%,5,13
G:WRB | P:IN,66,0%,99.82%,4,17
G:NNS | P:NNP,62,0%,99.82%,4,16
G:RB | P:VBD,61,0%,99.82%,18,3
G:NNS | P:VBD,60,0%,99.82%,24,3
G:NN | P:PDT,58,0%,99.82%,6,10
G:UH | P:NNS,58,0%,99.82%,2,29
G:VBP | P:JJS,56,0%,99.82%,12,5
G:VBP | P:VBZ,56,0%,99.82%,21,3
G:SYM | P:POS,53,0%,99.82%,1,53
G:VBG | P:VB,53,0%,99.82%,35,2
G:NN | P:RBS,50,0%,99.82%,22,2
G:UH | P:PDT,50,0%,99.82%,2,25
G:IN | P:CD,48,0%,99.82%,3,16
G:CD | P:PRP,47,0%,99.82%,2,24
G:t | P:NN,45,0%,99.82%,1,45
G:TO | P:NN,45,0%,99.82%,14,3
G:VBP | P:NNS,45,0%,99.82%,25,2
G:VBZ | P:IN,44,0%,99.82%,5,9
G:VBZ | P:VBG,44,0%,99.82%,26,2
G:AFX | P:NNS,42,0%,99.82%,23,2
G:FW | P:VB,42,0%,99.82%,12,4
G:NNP | P:PDT,42,0%,99.82%,2,21
G:PRP$ | P:NN,41,0%,99.82%,27,2
G:VB | P:VBG,41,0%,99.82%,22,2
G:JJ | P:RBR,40,0%,99.82%,24,2
G:POS | P:NN,40,0%,99.82%,25,2
G:IN | P:VBN,38,0%,99.82%,37,1
G:VB | P:JJS,36,0%,99.82%,17,2
G:VB | P:VBZ,36,0%,99.82%,8,5
G:WP$ | P:PRP$,36,0%,99.82%,1,36
G:SYM | P:RB,35,0%,99.82%,15,2
G:RB | P:EX,32,0%,99.82%,1,32
G:VB | P:PDT,32,0%,99.82%,4,8
G:JJS | P:VBN,30,0%,99.82%,10,3
G:RB | P:CD,30,0%,99.82%,15,2
G:SYM | P:CD,30,0%,99.82%,10,3
G:IN | P:NNS,29,0%,99.82%,24,1
G:WRB | P:NN,29,0%,99.82%,14,2
G:DT | P:VBP,27,0%,99.82%,21,1
G:IN | P:VBG,26,0%,99.82%,22,1
G:VBP | P:JJR,26,0%,99.82%,13,2
G:NNPS | P:NNP,25,0%,99.82%,1,25
G:PRP | P:RB,25,0%,99.82%,21,1
G:VBP | P:SYM,25,0%,99.82%,6,4
G:CC | P:CD,24,0%,99.82%,10,2
G:JJ | NN|P:NN,24,0%,99.82%,16,2
G:NN | P:WDT,24,0%,99.82%,2,12
G:VBZ | P:CC,24,0%,99.82%,2,12
G:VBZ | P:VB,24,0%,99.82%,12,2
G:FW | P:CD,23,0%,99.82%,12,2
G:JJ | P:VBZ,22,0%,99.82%,12,2
G:LS | P:JJ,22,0%,99.82%,4,6
G:RBR | P:VBP,22,0%,99.82%,7,3
G:RBS | P:IN,22,0%,99.82%,3,7
G:DT | P:NNS,21,0%,99.82%,8,3
G:WDT | P:RB,20,0%,99.82%,12,2
G:EX | P:NN,19,0%,99.82%,14,1
G:RBR | P:WRB,19,0%,99.82%,1,19
G:RP | P:VB,19,0%,99.82%,6,3
G:DT | P:RB,18,0%,99.82%,17,1
G:RB | P:FW,18,0%,99.82%,3,6
G:VBD | P:IN,18,0%,99.82%,3,6
G:DT | P:VB,17,0%,99.82%,12,1
G:JJ | P:PRP$,17,0%,99.82%,2,9
G:RBR | P:VB,17,0%,99.82%,7,2
G:VBG | P:NNS,17,0%,99.82%,10,2
G:IN | P:JJR,16,0%,99.82%,3,5
G:PRP | P:NNP,16,0%,99.82%,1,16
G:VBD | P:VBG,16,0%,99.82%,13,1
G:VBZ | P:NNP,16,0%,99.82%,1,16
G:TO | P:RB,15,0%,99.82%,11,1
G:VB | P:CC,15,0%,99.82%,3,5
G:VBP | P:PRP,15,0%,99.82%,3,5
G:IN | P:VBZ,14,0%,99.82%,12,1
G:IN | P:WRB,14,0%,99.82%,2,7
G:JJS | P:VB,14,0%,99.82%,11,1
G:MD | P:JJ,14,0%,99.82%,5,3
G:CC | P:JJ,13,0%,99.82%,11,1
G:VBG | P:VBP,13,0%,99.82%,9,1
G:CC | P:NNS,12,0%,99.82%,11,1
G:cis | P:JJ,12,0%,99.82%,1,12
G:MD | P:RB,12,0%,99.82%,12,1
G:NNP | P:WRB,12,0%,99.82%,4,3
G:RP | P:JJ,12,0%,99.82%,4,3
G:VBP | P:CD,12,0%,99.82%,7,2
G:JJ | P:WDT,11,0%,99.82%,2,6
G:NNP | P:MD,11,0%,99.82%,4,3
G:UH | P:RB,11,0%,99.82%,3,4
G:CD | P:VBP,10,0%,99.82%,10,1
G:IN | P:JJS,10,0%,99.82%,2,5
G:JJ | P:NNP,10,0%,99.82%,4,3
G:JJS | P:RB,10,0%,99.82%,4,3
G:MD | P:NNS,10,0%,99.82%,5,2
G:NNPS | P:JJ,10,0%,99.82%,6,2
G:NNS | P:JJR,10,0%,99.82%,9,1
G:UH | P:DT,10,0%,99.82%,2,5
G:CC | P:VBP,9,0%,99.82%,9,1
G:NNP | P:RBS,9,0%,99.82%,3,3
G:RBR | P:VBN,9,0%,99.82%,4,2
G:FW | P:SYM,8,0%,99.82%,3,3
G:FW | P:VBN,8,0%,99.82%,5,2
G:JJR | P:VBD,8,0%,99.82%,4,2
G:NF- | P:NN,8,0%,99.82%,1,8
G:NNP | P:RBR,8,0%,99.82%,3,3
G:PRP$ | P:VBP,8,0%,99.82%,7,1
G:RP | P:VBP,8,0%,99.82%,5,2
G:SYM | P:NNS,8,0%,99.82%,3,3
G:VB | P:RBS,8,0%,99.82%,4,2
G:VBG | P:IN,8,0%,99.82%,1,8
G:VBP | P:CC,8,0%,99.82%,1,8
G:FW | P:VBZ,7,0%,99.82%,6,1
G:PDT | P:CC,7,0%,99.82%,2,4
G:SYM | P:JJ,7,0%,99.82%,5,1
G:VBN | P:JJR,7,0%,99.82%,5,1
G:VBP | P:RBS,7,0%,99.82%,5,1
G:WP | P:NN,7,0%,99.82%,7,1
G:WRB | P:VBD,7,0%,99.82%,1,7
G:CD | P:VB,6,0%,99.82%,5,1
G:CD | P:VBD,6,0%,99.82%,5,1
G:DT | P:VBZ,6,0%,99.82%,2,3
G:JJS | P:NNS,6,0%,99.82%,6,1
G:LS | P:IN,6,0%,99.82%,2,3
G:LS | P:NNS,6,0%,99.82%,6,1
G:WDT | P:VB,6,0%,99.82%,5,1
G:DT | P:VBN,5,0%,99.82%,5,1
G:LS | P:SYM,5,0%,99.82%,1,5
G:NN | P:WRB,5,0%,99.82%,3,2
G:NNP | P:TO,5,0%,99.82%,2,3
G:NNPS | P:CC,5,0%,99.82%,1,5
G:NNPS | P:IN,5,0%,99.82%,4,1
G:RBR | P:VBD,5,0%,99.82%,1,5
G:VB | P:DT,5,0%,99.82%,4,1
G:VBN | P:IN,5,0%,99.82%,2,3
G:VBN | P:JJS,5,0%,99.82%,3,2
G:VBP | P:RBR,5,0%,99.82%,2,3
G:VBZ | P:PRP,5,0%,99.82%,2,3
G:WP | P:PRP,5,0%,99.82%,2,3
G:AFX | P:VBP,4,0%,99.82%,4,1
G:CD4-CD8- | P:NN,4,0%,99.82%,1,4
G:FW | P:DT,4,0%,99.82%,3,1
G:FW | P:JJR,4,0%,99.82%,4,1
G:LS | P:CC,4,0%,99.82%,1,4
G:NNP | P:WDT,4,0%,99.82%,3,1
G:VBG | P:VBD,4,0%,99.82%,4,1
G:VBN | P:CD,4,0%,99.82%,4,1
G:VBP | P:MD,4,0%,99.82%,3,1
G:CC | P:VB,3,0%,99.82%,3,1
G:CC | P:VBD,3,0%,99.82%,3,1
G:CD27- | P:NN,3,0%,99.82%,1,3
G:FW | P:VBD,3,0%,99.82%,3,1
G:G | P:NN,3,0%,99.82%,1,3
G:IN | P:NNP,3,0%,99.82%,1,3
G:IN | P:SYM,3,0%,99.82%,1,3
G:JJ | NN|P:JJ,3,0%,99.82%,3,1
G:JJ | P:WRB,3,0%,99.82%,1,3
G:JJR | P:NNS,3,0%,99.82%,1,3
G:JJS | P:IN,3,0%,99.82%,1,3
G:MD | P:VB,3,0%,99.82%,2,2
G:MD | P:VBD,3,0%,99.82%,2,2
G:NNPS | P:RB,3,0%,99.82%,3,1
G:NNS | P:VBG,3,0%,99.82%,3,1
G:PDT | P:DT,3,0%,99.82%,2,2
G:PDT | P:VBD,3,0%,99.82%,2,2
G:RB | P:VBG,3,0%,99.82%,3,1
G:RBS | P:NN,3,0%,99.82%,3,1
G:RP | P:SYM,3,0%,99.82%,1,3
G:SYM | P:CC,3,0%,99.82%,1,3
G:UH | P:JJ,3,0%,99.82%,3,1
G:VB | P:FW,3,0%,99.82%,2,2
G:VB | P:MD,3,0%,99.82%,1,3
G:WRB | P:RB,3,0%,99.82%,1,3
G:AFX | P:IN,2,0%,99.82%,1,2
G:AFX | P:JJR,2,0%,99.82%,2,1
G:AFX | P:VBD,2,0%,99.82%,2,1
G:CC | P:JJR,2,0%,99.82%,2,1
G:JJ | NNS|P:NN,2,0%,99.82%,2,1
G:JJ | P:WP,2,0%,99.82%,1,2
G:NNPS | P:VB,2,0%,99.82%,2,1
G:PDT | P:RB,2,0%,99.82%,2,1
G:PRP | P:VBP,2,0%,99.82%,2,1
G:PRP$ | P:VB,2,0%,99.82%,2,1
G:RBR | P:SYM,2,0%,99.82%,1,2
G:RP | P:VBD,2,0%,99.82%,2,1
G:VB | P:SYM,2,0%,99.82%,2,1
G:VBD | P:CD,2,0%,99.82%,2,1
G:VBD | P:VBZ,2,0%,99.82%,2,1
G:VBG | P:JJR,2,0%,99.82%,2,1
G:VBZ | P:PRP$,2,0%,99.82%,1,2
G:AFX | P:DT,1,0%,99.82%,1,1
G:AFX | P:FW,1,0%,99.82%,1,1
G:AFX | P:POS,1,0%,99.82%,1,1
G:AFX | P:RB,1,0%,99.82%,1,1
G:AFX | P:VBZ,1,0%,99.82%,1,1
G:CC | P:VBG,1,0%,99.82%,1,1
G:CC | P:VBN,1,0%,99.82%,1,1
G:CC | P:VBZ,1,0%,99.82%,1,1
G:CD | P:VBG,1,0%,99.82%,1,1
G:DT | P:JJR,1,0%,99.82%,1,1
G:DT | P:RBR,1,0%,99.82%,1,1
G:DT | P:RBS,1,0%,99.82%,1,1
G:DT | P:VBD,1,0%,99.82%,1,1
G:DT | P:VBG,1,0%,99.82%,1,1
G:EX | P:VBP,1,0%,99.82%,1,1
G:FW | P:NNP,1,0%,99.82%,1,1
G:FW | P:PRP$,1,0%,99.82%,1,1
G:HYPH | P:RB,1,0%,99.82%,1,1
G:IN | P:RBS,1,0%,99.82%,1,1
G:JJ | P:POS,1,0%,99.82%,1,1
G:JJS | P:VBD,1,0%,99.82%,1,1
G:MD | P:VBN,1,0%,99.82%,1,1
G:NN | NNS|P:NN,1,0%,99.82%,1,1
G:NN | P:RP,1,0%,99.82%,1,1
G:NNP | P:EX,1,0%,99.82%,1,1
G:NNP | P:RP,1,0%,99.82%,1,1
G:NNPS | P:PDT,1,0%,99.82%,1,1
G:NNPS | P:PRP,1,0%,99.82%,1,1
G:NNPS | P:VBN,1,0%,99.82%,1,1
G:PDT | P:CD,1,0%,99.82%,1,1
G:PDT | P:VB,1,0%,99.82%,1,1
G:PDT | P:VBG,1,0%,99.82%,1,1
G:PDT | P:VBP,1,0%,99.82%,1,1
G:PRP | P:JJ,1,0%,99.82%,1,1
G:PRP | P:NNS,1,0%,99.82%,1,1
G:PRP$ | P:JJ,1,0%,99.82%,1,1
G:PRP$ | P:JJR,1,0%,99.82%,1,1
G:PRP$ | P:RB,1,0%,99.82%,1,1
G:RB | P:MD,1,0%,99.82%,1,1
G:RB | P:SYM,1,0%,99.82%,1,1
G:RB | P:WDT,1,0%,99.82%,1,1
G:RBR | P:IN,1,0%,99.82%,1,1
G:RBS | P:JJ,1,0%,99.82%,1,1
G:RBS | P:RB,1,0%,99.82%,1,1
G:RBS | P:VBN,1,0%,99.82%,1,1
G:RP | P:VBN,1,0%,99.82%,1,1
G:SYM | P:VB,1,0%,99.82%,1,1
G:SYM | P:VBD,1,0%,99.82%,1,1
G:SYM | P:VBG,1,0%,99.82%,1,1
G:SYM | P:VBN,1,0%,99.82%,1,1
G:Tat- | P:NN,1,0%,99.82%,1,1
G:TO | P:JJ,1,0%,99.82%,1,1
G:TO | P:NNS,1,0%,99.82%,1,1
G:UH | P:SYM,1,0%,99.82%,1,1
G:VB | P:NNP,1,0%,99.82%,1,1
G:VB | P:POS,1,0%,99.82%,1,1
G:VBD | P:JJR,1,0%,99.82%,1,1
G:VBD | P:RBS,1,0%,99.82%,1,1
G:VBD | P:SYM,1,0%,99.82%,1,1
G:VBP | P:DT,1,0%,99.82%,1,1
G:VBP | P:PDT,1,0%,99.82%,1,1
G:VBP | P:POS,1,0%,99.82%,1,1
G:VBP | P:WP,1,0%,99.82%,1,1
G:VBZ | P:JJR,1,0%,99.82%,1,1
G:VBZ | P:SYM,1,0%,99.82%,1,1
G:WDT | P:DT,1,0%,99.82%,1,1
G:WDT | P:JJ,1,0%,99.82%,1,1
G:WP | P:RB,1,0%,99.82%,1,1
G:WRB | P:JJ,1,0%,99.82%,1,1
G:WRB | P:WDT,1,0%,99.82%,1,1
